id,decibels,createdAt,updatedAt
dc0bf334-e01f-4118-8854-736f6732e64d,68.1,2024-08-28T10:55:38.969459Z,2024-08-28T10:55:38.969459Z
ba6b79c9-1159-417a-8c77-b65889d9a4c0,68.1,2024-08-28T10:55:39.029612Z,2024-08-28T10:55:39.029612Z
c45e171f-ee15-443f-9ab1-8086b8427686,68.1,2024-08-28T10:55:39.089801Z,2024-08-28T10:55:39.089801Z
5a2c11d2-705b-495f-a17f-d5e803afa01c,68.1,2024-08-28T10:55:39.147440Z,2024-08-28T10:55:39.147440Z
33499bec-cce9-467f-b3c9-9e303e660aec,68.1,2024-08-28T10:55:39.200127Z,2024-08-28T10:55:39.200127Z
160fbf06-3dd8-49c3-950d-edb43cceed00,68.1,2024-08-28T10:55:39.277706Z,2024-08-28T10:55:39.277706Z
b5c423c1-605c-4f53-9f96-260b1b1ae051,68.1,2024-08-28T10:55:39.329980Z,2024-08-28T10:55:39.329980Z
9df86ffe-1064-4489-b74b-d9486a5f36fb,68.1,2024-08-28T10:55:39.406730Z,2024-08-28T10:55:39.406730Z
bbf8ecd8-73e4-493e-a6cb-77f2bb02c57b,68.1,2024-08-28T10:55:39.459162Z,2024-08-28T10:55:39.459162Z
932c0d51-327c-45e9-886c-51dcb383a5b5,68.7,2024-08-28T10:56:03.186538Z,2024-08-28T10:56:03.186538Z
02e52f9d-3016-42f7-b3ae-f50281fc376f,68.7,2024-08-28T10:56:03.246494Z,2024-08-28T10:56:03.246494Z
01184138-a8b1-4ca0-ac25-9fe06027c9d4,68.7,2024-08-28T10:56:03.306678Z,2024-08-28T10:56:03.306678Z
0e392df2-f1e1-42f1-9e8b-c00aa66cbd97,68.7,2024-08-28T10:56:03.364234Z,2024-08-28T10:56:03.364234Z
e2325aed-9027-4d6f-9e88-9a4e14e04174,68.7,2024-08-28T10:56:03.416881Z,2024-08-28T10:56:03.416881Z
449ca730-6963-49f6-9c04-f1f5995e8527,68.7,2024-08-28T10:56:03.494655Z,2024-08-28T10:56:03.494655Z
6fcfbb22-b5db-48e0-9a4c-352757753bc5,68.7,2024-08-28T10:56:03.547046Z,2024-08-28T10:56:03.547046Z
9f7c0463-8436-4a4e-8d9b-fa7b82999330,68.7,2024-08-28T10:56:03.624782Z,2024-08-28T10:56:03.624782Z
b114ab72-08cd-4356-ad91-9803bbc6fe94,68.7,2024-08-28T10:56:03.677380Z,2024-08-28T10:56:03.677380Z
cb537e14-27d4-4abc-a31e-1ce0b5a63869,75.9,2024-08-28T10:56:03.737543Z,2024-08-28T10:56:03.737543Z
ce713b06-30cc-4bf1-9941-c0657d445743,75.9,2024-08-28T10:56:03.797977Z,2024-08-28T10:56:03.797977Z
9f85b3e7-97cd-405a-9975-0250a7164475,75.9,2024-08-28T10:56:03.857849Z,2024-08-28T10:56:03.857849Z
ba3aeef5-9f02-43d8-9f27-b4eac7c892f3,75.9,2024-08-28T10:56:03.915455Z,2024-08-28T10:56:03.915455Z
8de857d6-bf89-4b99-a4c8-ea64e543ac31,75.9,2024-08-28T10:56:03.977069Z,2024-08-28T10:56:03.977069Z
2eec5f63-c156-48da-90c6-e6b949c0b024,75.9,2024-08-28T10:56:04.045540Z,2024-08-28T10:56:04.045540Z
8ba2ef55-363a-47df-80a6-ac94fb2d7cdb,75.9,2024-08-28T10:56:04.097229Z,2024-08-28T10:56:04.097229Z
94846f22-cef0-4317-a44b-e30a4cdb134d,75.9,2024-08-28T10:56:04.174730Z,2024-08-28T10:56:04.174730Z
db10f918-dfa8-44fa-8ee2-537e746c7d68,75.9,2024-08-28T10:56:04.227888Z,2024-08-28T10:56:04.227888Z
59c4ccd1-48cc-4236-867a-3d9fb4daca2a,76.8,2024-08-28T10:56:04.287496Z,2024-08-28T10:56:04.287496Z
09f947bd-7db8-46d3-ac69-b93b54efc22d,76.8,2024-08-28T10:56:04.347576Z,2024-08-28T10:56:04.347576Z
92a14605-4eb2-474c-b5d2-3a0cbad9ec6d,76.8,2024-08-28T10:56:04.407582Z,2024-08-28T10:56:04.407582Z
35f86d5f-3aa5-41df-afa1-f4058b8b7b3a,76.8,2024-08-28T10:56:04.465064Z,2024-08-28T10:56:04.465064Z
a60ef062-edd2-4add-bd77-b099bdad13d6,76.8,2024-08-28T10:56:04.517983Z,2024-08-28T10:56:04.517983Z
4898e0cc-c64d-4d49-82a1-ee468483227c,76.8,2024-08-28T10:56:04.595629Z,2024-08-28T10:56:04.595629Z
e8c7f9f9-6e6f-43a5-9b07-ae844372741c,76.8,2024-08-28T10:56:04.648226Z,2024-08-28T10:56:04.648226Z
